VariableCode,Medium,Variable,Unit,Aggregate,Tags
Turbidity NTU,SurfaceWater,Turbidity,NephelometricTurbidityUnit,0,0
Unknown,Unknown,Unknown,Unknown,0,0
Water Level m,GroundWater,Depth,Meter,0,0
Water Level Manual m,GroundWater,Depth,Meter,0,manual
Water Pressure mbar,Water,Pressure,Millibar,0,0
Water Pressure mV,Water,Pressure,Millivolt,0,0
Water Pressure psi,Water,Pressure,PoundForcePerSquareInch,0,0
Water Temp C,Water,Temperature,DegreeCelsius,0,0
Wind Direction Degrees,Air,Direction,DegreeAngle,0,0
Wind Direction Standard Deviation,Air,Direction,DegreeAngle,StandardDeviation,0
Wind Gust MS,Air,Speed,MeterPerSecond,0,0
Wind Speed Avg MPH,Air,Speed,MilesPerHour,Average,0
Wind Speed Avg MS,Air,Speed,MeterPerSecond,Average,0
Wind Speed Max MPH,Air,Speed,MilesPerHour,Maximum,0
Wind Speed Max MS,Air,Speed,MeterPerSecond,Maximum,0
Wind Speed Min MPH,Air,Speed,MilesPerHour,Minimum,0
Wind Speed Min MS,Air,Speed,MeterPerSecond,Minimum,0
Wind Speed Stdev MPH,Air,Speed,MilesPerHour,StandardDeviation,0
Wind Speed Stdev MS,Air,Speed,MeterPerSecond,StandardDeviation,0
Wind Vector Magnitude MS,Air,Speed,MeterPerSecond,0,vector
Wind Vector Speed m s,Air,Speed,MeterPerSecond,0,vector
